date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:21:38	1162/1162	---M--	200	added ('OK')	image/png	etag:%2214d80973-48a-596f453b34f00%22	http://yp.jyc.co.in/images/prettyPhoto/default/sprite_y.png	F:/My%20Web%20Sites/Resume/yp.jyc.co.in/images/prettyPhoto/default/sprite_y.png	(from http://yp.jyc.co.in/css/prettyPhoto.css)
17:21:38	1358/1358	---M--	200	added ('OK')	image/png	etag:%2214d80939-54e-596f453b34f00%22	http://yp.jyc.co.in/images/prettyPhoto/default/sprite_next.png	F:/My%20Web%20Sites/Resume/yp.jyc.co.in/images/prettyPhoto/default/sprite_next.png	(from http://yp.jyc.co.in/css/prettyPhoto.css)
17:21:39	1376/1376	---M--	200	added ('OK')	image/png	etag:%2214d80940-560-596f453b34f00%22	http://yp.jyc.co.in/images/prettyPhoto/default/sprite_prev.png	F:/My%20Web%20Sites/Resume/yp.jyc.co.in/images/prettyPhoto/default/sprite_prev.png	(from http://yp.jyc.co.in/css/prettyPhoto.css)
17:21:40	1537/1537	---M--	200	added ('OK')	image/png	etag:%2214d808d7-601-596f453b34f00%22	http://yp.jyc.co.in/images/prettyPhoto/default/default_thumb.png	F:/My%20Web%20Sites/Resume/yp.jyc.co.in/images/prettyPhoto/default/default_thumb.png	(from http://yp.jyc.co.in/css/prettyPhoto.css)
17:21:41	6331/6331	---M--	200	added ('OK')	image/gif	etag:%2214d808db-18bb-596f453b34f00%22	http://yp.jyc.co.in/images/prettyPhoto/default/loader.gif	F:/My%20Web%20Sites/Resume/yp.jyc.co.in/images/prettyPhoto/default/loader.gif	(from http://yp.jyc.co.in/css/prettyPhoto.css)
17:21:43	4099/4099	---M--	200	added ('OK')	image/png	etag:%2214d809a8-1003-596f453764600%22	http://yp.jyc.co.in/images/prettyPhoto/light_rounded/sprite.png	F:/My%20Web%20Sites/Resume/yp.jyc.co.in/images/prettyPhoto/light_rounded/sprite.png	(from http://yp.jyc.co.in/css/prettyPhoto.css)
17:21:43	1411/1411	---M--	200	added ('OK')	image/png	etag:%2214d8099e-583-596f45357c180%22	http://yp.jyc.co.in/images/prettyPhoto/light_rounded/btnNext.png	F:/My%20Web%20Sites/Resume/yp.jyc.co.in/images/prettyPhoto/light_rounded/btnNext.png	(from http://yp.jyc.co.in/css/prettyPhoto.css)
17:21:47	1442/1442	---M--	200	added ('OK')	image/png	etag:%2214d809a0-5a2-596f45357c180%22	http://yp.jyc.co.in/images/prettyPhoto/light_rounded/btnPrevious.png	F:/My%20Web%20Sites/Resume/yp.jyc.co.in/images/prettyPhoto/light_rounded/btnPrevious.png	(from http://yp.jyc.co.in/css/prettyPhoto.css)
17:21:48	4076/4076	---M--	200	added ('OK')	image/png	etag:%2214d80895-fec-596f453d1d380%22	http://yp.jyc.co.in/images/prettyPhoto/dark_rounded/sprite.png	F:/My%20Web%20Sites/Resume/yp.jyc.co.in/images/prettyPhoto/dark_rounded/sprite.png	(from http://yp.jyc.co.in/css/prettyPhoto.css)
17:21:49	130/130	---M--	200	added ('OK')	image/png	etag:%2214d80881-82-596f453f05800%22	http://yp.jyc.co.in/images/prettyPhoto/dark_rounded/contentPattern.png	F:/My%20Web%20Sites/Resume/yp.jyc.co.in/images/prettyPhoto/dark_rounded/contentPattern.png	(from http://yp.jyc.co.in/css/prettyPhoto.css)
